canonical_id,canonical_name,scientific_name,authorship,rank,status,is_hybrid,accepted_canonical_id,authority_mappings_count,authorities
192,Habenaria pseudofilifera,Habenaria pseudofilifera R. Gonz&aacute;lez & Cuev.-Fig.,R. Gonz&aacute;lez & Cuev.-Fig.,species,accepted,False,,2,GBIF
193,Habenaria pseudoglaucophylla,"Habenaria pseudoglaucophylla J. A. N. Bat., R. C. Mota & N. Abreu","J. A. N. Bat., R. C. Mota & N. Abreu",species,accepted,False,,2,GBIF
194,Habenaria pseudohamata,Habenaria pseudohamata Toscano,Toscano,species,accepted,False,,2,GBIF
195,Elleanthus thomasii,Elleanthus thomasii Dodson ex Dudek & Szlach.,Dodson ex Dudek & Szlach.,species,accepted,False,,1,GBIF
196,Brachycorythis pilosa,Brachycorythis pilosa Summerh.,Summerh.,species,accepted,False,,2,GBIF
197,Cynorkis angustipetala,Cynorkis angustipetala Ridl.,Ridl.,species,accepted,False,,2,GBIF
198,Cynorkis anisoloba,Cynorkis anisoloba Summerh.,Summerh.,species,accepted,False,,2,GBIF
199,Habenaria saprophytica,Habenaria saprophytica Bosser & P. J. Cribb,Bosser & P. J. Cribb,species,accepted,False,,3,GBIF
200,Sarcoglyphis tichii,Sarcoglyphis tichii Aver.,Aver.,species,accepted,False,,1,GBIF
201,Micropera tibetica,Micropera tibetica X. H. Jin & Y. J. Lai,X. H. Jin & Y. J. Lai,species,accepted,False,,1,GBIF
202,Habenaria sastrei,Habenaria sastrei Szlach. & Kolan.,Szlach. & Kolan.,species,accepted,False,,2,GBIF
203,Taeniophyllum philippinense,Taeniophyllum philippinense Rchb.f.,Rchb.f.,species,accepted,False,,1,GBIF
204,Habenaria setifolia,Habenaria setifolia Carr,Carr,species,accepted,False,,2,GBIF
205,Habenaria shweliensis,Habenaria shweliensis W. W. Sm. & Banerji,W. W. Sm. & Banerji,species,accepted,False,,3,GBIF
206,Habenaria siamensis,Habenaria siamensis Schltr.,Schltr.,species,accepted,False,,2,GBIF
207,Cynorkis ankaranensis,Cynorkis ankaranensis Hervouet,Hervouet,species,accepted,False,,1,GBIF
208,Sobralia bletiae,Sobralia bletiae Rchb.f.,Rchb.f.,species,accepted,False,,2,GBIF
209,Bulbophyllum x,Bulbophyllum x omerumbellatum T. P. Lin,omerumbellatum T. P. Lin,species,accepted,True,,0,
210,Eulophia angustilabris,Eulophia angustilabris Seidenf.,Seidenf.,species,accepted,False,,1,GBIF
211,Eulophia chaunanthe,Eulophia chaunanthe Seidenf.,Seidenf.,species,accepted,False,,1,GBIF
212,Sobralia donemilioi,Sobralia donemilioi Archila & Chiron,Archila & Chiron,species,accepted,False,,0,
213,Sobralia rupicola,Sobralia rupicola Kraenzl.,Kraenzl.,species,accepted,False,,2,GBIF
214,Crossoglossa sprucei,Crossoglossa sprucei Ormerod,Ormerod,species,accepted,False,,1,GBIF
215,Sobralia sanchezjosana,"Sobralia sanchezjosana H. Medina, J. Portilla & I. Portilla","H. Medina, J. Portilla & I. Portilla",species,accepted,False,,2,GBIF
216,Mycaranthes depauperata,Mycaranthes depauperata J. J. Wood,J. J. Wood,species,accepted,False,,2,GBIF
217,Catasetum spittlerae,Catasetum spittlerae Jenny,Jenny,species,accepted,False,,1,GBIF
218,Habenaria stereophylla,Habenaria stereophylla Kraenzl.,Kraenzl.,species,accepted,False,,1,GBIF
219,Sobralia sancti-josephi,Sobralia sancti-josephi Kraenzl.,Kraenzl.,species,accepted,False,,2,GBIF
220,Sobralia sanctorum,Sobralia sanctorum Dressler & Bogar&iacute;n,Dressler & Bogar&iacute;n,species,accepted,False,,1,GBIF
221,Sobralia sanfelicis,Sobralia sanfelicis Dressler,Dressler,species,accepted,False,,2,GBIF
222,Ceratostylis alberteduardi,Ceratostylis alberteduardi P. Royen,P. Royen,species,accepted,False,,1,GBIF
223,Sobralia schultzei,Sobralia schultzei Schltr.,Schltr.,species,accepted,False,,2,GBIF
224,Gastrodia angusta,Gastrodia angusta S. Chow & S. C. Chen,S. Chow & S. C. Chen,species,accepted,False,,2,GBIF
225,Phreatia renilabris,Phreatia renilabris J. J. Sm.,J. J. Sm.,species,accepted,False,,2,GBIF
226,Trichoceros onaensis,Trichoceros onaensis Christenson,Christenson,species,accepted,False,,1,GBIF
227,Calanthe tenuis,Calanthe tenuis Ames & C. Schweinf.,Ames & C. Schweinf.,species,accepted,False,,2,GBIF
228,Bromheadia robusta,Bromheadia robusta Kruiz. & de Vogel,Kruiz. & de Vogel,species,accepted,False,,2,GBIF
229,Gastrodia exianlingensis,"Gastrodia exianlingensis M. Z. Huang, S. R. Lan & Z. J. Liu","M. Z. Huang, S. R. Lan & Z. J. Liu",species,accepted,False,,0,
230,Tropidia multinervis,Tropidia multinervis Schltr.,Schltr.,species,accepted,False,,1,GBIF
231,Habenaria tahitensis,Habenaria tahitensis Nadeaud,Nadeaud,species,accepted,False,,2,GBIF
232,Oncidium anguloi,Oncidium anguloi P. Ortiz,P. Ortiz,species,accepted,False,,1,GBIF
233,Microcoelia ornithocephala,Microcoelia ornithocephala P. J. Cribb,P. J. Cribb,species,accepted,False,,1,GBIF
234,Hymenorchis glomeroides,Hymenorchis glomeroides J. J. Sm.,J. J. Sm.,species,accepted,False,,1,GBIF
